TOP.5cf3e4ab.000bdf9c	START
TOP.5cf3ebfe.00020935	SUB.5cf3ec07.0001957b	STOP
TOP.5cf3ebfe.00020935	proc_start	1559489534
TOP.5cf3ebfe.00020935	proc_stop	1559489544
TOP.5cf3ebfe.00020935	STOP
TOP.5cf3ecf1.00096ad5	START
TOP.5cf3ecf1.00096ad5	user_options->separator	:
TOP.5cf3ecf1.00096ad5	user_options->encoding_from	utf-8
TOP.5cf3ecf1.00096ad5	user_options->encoding_to	utf-8
TOP.5cf3ecf1.00096ad5	user_options->rule_buf_l	:
TOP.5cf3ecf1.00096ad5	user_options->rule_buf_r	:
TOP.5cf3ecf1.00096ad5	user_options->session	hashcat
TOP.5cf3ecf1.00096ad5	user_options->limit	0
TOP.5cf3ecf1.00096ad5	user_options->skip	0
TOP.5cf3ecf1.00096ad5	user_options->attack_mode	0
TOP.5cf3ecf1.00096ad5	user_options->benchmark	0
TOP.5cf3ecf1.00096ad5	user_options->benchmark_all	0
TOP.5cf3ecf1.00096ad5	user_options->bitmap_max	18
TOP.5cf3ecf1.00096ad5	user_options->bitmap_min	16
TOP.5cf3ecf1.00096ad5	user_options->debug_mode	0
TOP.5cf3ecf1.00096ad5	user_options->example_hashes	0
TOP.5cf3ecf1.00096ad5	user_options->force	0
TOP.5cf3ecf1.00096ad5	user_options->hwmon_disable	0
TOP.5cf3ecf1.00096ad5	user_options->hwmon_temp_abort	90
TOP.5cf3ecf1.00096ad5	user_options->hash_mode	0
TOP.5cf3ecf1.00096ad5	user_options->hex_charset	0
TOP.5cf3ecf1.00096ad5	user_options->hex_salt	0
TOP.5cf3ecf1.00096ad5	user_options->hex_wordlist	0
TOP.5cf3ecf1.00096ad5	user_options->increment	0
TOP.5cf3ecf1.00096ad5	user_options->increment_max	256
TOP.5cf3ecf1.00096ad5	user_options->increment_min	1
TOP.5cf3ecf1.00096ad5	user_options->keep_guessing	0
TOP.5cf3ecf1.00096ad5	user_options->kernel_accel	0
TOP.5cf3ecf1.00096ad5	user_options->kernel_loops	0
TOP.5cf3ecf1.00096ad5	user_options->kernel_threads	0
TOP.5cf3ecf1.00096ad5	user_options->keyspace	0
TOP.5cf3ecf1.00096ad5	user_options->left	0
TOP.5cf3ecf1.00096ad5	user_options->logfile_disable	0
TOP.5cf3ecf1.00096ad5	user_options->loopback	0
TOP.5cf3ecf1.00096ad5	user_options->machine_readable	0
TOP.5cf3ecf1.00096ad5	user_options->markov_classic	0
TOP.5cf3ecf1.00096ad5	user_options->markov_disable	0
TOP.5cf3ecf1.00096ad5	user_options->markov_threshold	256
TOP.5cf3ecf1.00096ad5	user_options->opencl_info	0
TOP.5cf3ecf1.00096ad5	user_options->opencl_vector_width	0
TOP.5cf3ecf1.00096ad5	user_options->optimized_kernel_enable	0
TOP.5cf3ecf1.00096ad5	user_options->outfile_autohex	1
TOP.5cf3ecf1.00096ad5	user_options->outfile_check_timer	5
TOP.5cf3ecf1.00096ad5	user_options->outfile_format	3
TOP.5cf3ecf1.00096ad5	user_options->wordlist_autohex_disable	0
TOP.5cf3ecf1.00096ad5	user_options->potfile_disable	0
TOP.5cf3ecf1.00096ad5	user_options->progress_only	0
TOP.5cf3ecf1.00096ad5	user_options->quiet	0
TOP.5cf3ecf1.00096ad5	user_options->remove	0
TOP.5cf3ecf1.00096ad5	user_options->remove_timer	60
TOP.5cf3ecf1.00096ad5	user_options->restore	0
TOP.5cf3ecf1.00096ad5	user_options->restore_disable	0
TOP.5cf3ecf1.00096ad5	user_options->restore_timer	60
TOP.5cf3ecf1.00096ad5	user_options->rp_files_cnt	0
TOP.5cf3ecf1.00096ad5	user_options->rp_gen	0
TOP.5cf3ecf1.00096ad5	user_options->rp_gen_func_max	4
TOP.5cf3ecf1.00096ad5	user_options->rp_gen_func_min	1
TOP.5cf3ecf1.00096ad5	user_options->rp_gen_seed	0
TOP.5cf3ecf1.00096ad5	user_options->runtime	0
TOP.5cf3ecf1.00096ad5	user_options->scrypt_tmto	0
TOP.5cf3ecf1.00096ad5	user_options->segment_size	33554432
TOP.5cf3ecf1.00096ad5	user_options->self_test_disable	0
TOP.5cf3ecf1.00096ad5	user_options->slow_candidates	0
TOP.5cf3ecf1.00096ad5	user_options->show	0
TOP.5cf3ecf1.00096ad5	user_options->speed_only	0
TOP.5cf3ecf1.00096ad5	user_options->spin_damp	8
TOP.5cf3ecf1.00096ad5	user_options->status	0
TOP.5cf3ecf1.00096ad5	user_options->status_timer	10
TOP.5cf3ecf1.00096ad5	user_options->stdout_flag	0
TOP.5cf3ecf1.00096ad5	user_options->usage	0
TOP.5cf3ecf1.00096ad5	user_options->username	0
TOP.5cf3ecf1.00096ad5	user_options->veracrypt_pim	0
TOP.5cf3ecf1.00096ad5	user_options->version	0
TOP.5cf3ecf1.00096ad5	user_options->workload_profile	2
TOP.5cf3ecf1.00096ad5	user_options->brain_client	0
TOP.5cf3ecf1.00096ad5	user_options->brain_client_features	2
TOP.5cf3ecf1.00096ad5	user_options->brain_server	0
TOP.5cf3ecf1.00096ad5	user_options->brain_port	6863
TOP.5cf3ecf1.00096ad5	user_options->brain_session	0
TOP.5cf3ecf1.00096ad5	hashes->hashfile	hashmd5.txt
TOP.5cf3ecf1.00096ad5	hashes->hashlist_mode	4
TOP.5cf3ecf1.00096ad5	hashes->hashlist_format	0
TOP.5cf3ecf1.00096ad5	hashes->hashes_cnt	0
TOP.5cf3ecf1.00096ad5	hashes->digests_cnt	4
TOP.5cf3ecf1.00096ad5	hashes->digests_done	0
TOP.5cf3ecf1.00096ad5	hashes->salts_cnt	1
TOP.5cf3ecf1.00096ad5	hashes->salts_done	0
TOP.5cf3ecf1.00096ad5	SUB.5cf3ecf8.000571f8	START
TOP.5cf3ecf1.00096ad5	SUB.5cf3ecf8.000571f8	straight_ctx->dict	dictionary.txt
TOP.5cf3ecf1.00096ad5	SUB.5cf3ecf8.000571f8	runtime_start	1559489784
TOP.5cf3ecf1.00096ad5	SUB.5cf3ecf8.000571f8	runtime_stop	1559489784
TOP.5cf3ecf1.00096ad5	SUB.5cf3ecf8.000571f8	status-after-work	5
TOP.5cf3ecf1.00096ad5	SUB.5cf3ecf8.000571f8	STOP
TOP.5cf3ecf1.00096ad5	proc_start	1559489777
TOP.5cf3ecf1.00096ad5	proc_stop	1559489785
TOP.5cf3ecf1.00096ad5	STOP
TOP.5cf3ed0c.0002127d	START
TOP.5cf3ed0c.0002127d	user_options->separator	:
TOP.5cf3ed0c.0002127d	user_options->encoding_from	utf-8
TOP.5cf3ed0c.0002127d	user_options->encoding_to	utf-8
TOP.5cf3ed0c.0002127d	user_options->rule_buf_l	:
TOP.5cf3ed0c.0002127d	user_options->rule_buf_r	:
TOP.5cf3ed0c.0002127d	user_options->session	hashcat
TOP.5cf3ed0c.0002127d	user_options->limit	0
TOP.5cf3ed0c.0002127d	user_options->skip	0
TOP.5cf3ed0c.0002127d	user_options->attack_mode	0
TOP.5cf3ed0c.0002127d	user_options->benchmark	0
TOP.5cf3ed0c.0002127d	user_options->benchmark_all	0
TOP.5cf3ed0c.0002127d	user_options->bitmap_max	18
TOP.5cf3ed0c.0002127d	user_options->bitmap_min	16
TOP.5cf3ed0c.0002127d	user_options->debug_mode	0
TOP.5cf3ed0c.0002127d	user_options->example_hashes	0
TOP.5cf3ed0c.0002127d	user_options->force	0
TOP.5cf3ed0c.0002127d	user_options->hwmon_disable	0
TOP.5cf3ed0c.0002127d	user_options->hwmon_temp_abort	90
TOP.5cf3ed0c.0002127d	user_options->hash_mode	0
TOP.5cf3ed0c.0002127d	user_options->hex_charset	0
TOP.5cf3ed0c.0002127d	user_options->hex_salt	0
TOP.5cf3ed0c.0002127d	user_options->hex_wordlist	0
TOP.5cf3ed0c.0002127d	user_options->increment	0
TOP.5cf3ed0c.0002127d	user_options->increment_max	256
TOP.5cf3ed0c.0002127d	user_options->increment_min	1
TOP.5cf3ed0c.0002127d	user_options->keep_guessing	0
TOP.5cf3ed0c.0002127d	user_options->kernel_accel	0
TOP.5cf3ed0c.0002127d	user_options->kernel_loops	0
TOP.5cf3ed0c.0002127d	user_options->kernel_threads	0
TOP.5cf3ed0c.0002127d	user_options->keyspace	0
TOP.5cf3ed0c.0002127d	user_options->left	0
TOP.5cf3ed0c.0002127d	user_options->logfile_disable	0
TOP.5cf3ed0c.0002127d	user_options->loopback	0
TOP.5cf3ed0c.0002127d	user_options->machine_readable	0
TOP.5cf3ed0c.0002127d	user_options->markov_classic	0
TOP.5cf3ed0c.0002127d	user_options->markov_disable	0
TOP.5cf3ed0c.0002127d	user_options->markov_threshold	256
TOP.5cf3ed0c.0002127d	user_options->opencl_info	0
TOP.5cf3ed0c.0002127d	user_options->opencl_vector_width	0
TOP.5cf3ed0c.0002127d	user_options->optimized_kernel_enable	0
TOP.5cf3ed0c.0002127d	user_options->outfile_autohex	1
TOP.5cf3ed0c.0002127d	user_options->outfile_check_timer	5
TOP.5cf3ed0c.0002127d	user_options->outfile_format	3
TOP.5cf3ed0c.0002127d	user_options->wordlist_autohex_disable	0
TOP.5cf3ed0c.0002127d	user_options->potfile_disable	0
TOP.5cf3ed0c.0002127d	user_options->progress_only	0
TOP.5cf3ed0c.0002127d	user_options->quiet	0
TOP.5cf3ed0c.0002127d	user_options->remove	0
TOP.5cf3ed0c.0002127d	user_options->remove_timer	60
TOP.5cf3ed0c.0002127d	user_options->restore	0
TOP.5cf3ed0c.0002127d	user_options->restore_disable	0
TOP.5cf3ed0c.0002127d	user_options->restore_timer	60
TOP.5cf3ed0c.0002127d	user_options->rp_files_cnt	0
TOP.5cf3ed0c.0002127d	user_options->rp_gen	0
TOP.5cf3ed0c.0002127d	user_options->rp_gen_func_max	4
TOP.5cf3ed0c.0002127d	user_options->rp_gen_func_min	1
TOP.5cf3ed0c.0002127d	user_options->rp_gen_seed	0
TOP.5cf3ed0c.0002127d	user_options->runtime	0
TOP.5cf3ed0c.0002127d	user_options->scrypt_tmto	0
TOP.5cf3ed0c.0002127d	user_options->segment_size	33554432
TOP.5cf3ed0c.0002127d	user_options->self_test_disable	0
TOP.5cf3ed0c.0002127d	user_options->slow_candidates	0
TOP.5cf3ed0c.0002127d	user_options->show	0
TOP.5cf3ed0c.0002127d	user_options->speed_only	0
TOP.5cf3ed0c.0002127d	user_options->spin_damp	8
TOP.5cf3ed0c.0002127d	user_options->status	1
TOP.5cf3ed0c.0002127d	user_options->status_timer	10
TOP.5cf3ed0c.0002127d	user_options->stdout_flag	0
TOP.5cf3ed0c.0002127d	user_options->usage	0
TOP.5cf3ed0c.0002127d	user_options->username	0
TOP.5cf3ed0c.0002127d	user_options->veracrypt_pim	0
TOP.5cf3ed0c.0002127d	user_options->version	0
TOP.5cf3ed0c.0002127d	user_options->workload_profile	2
TOP.5cf3ed0c.0002127d	user_options->brain_client	0
TOP.5cf3ed0c.0002127d	user_options->brain_client_features	2
TOP.5cf3ed0c.0002127d	user_options->brain_server	0
TOP.5cf3ed0c.0002127d	user_options->brain_port	6863
TOP.5cf3ed0c.0002127d	user_options->brain_session	0
TOP.5cf3ed0c.0002127d	hashes->hashfile	hashmd5.txt
TOP.5cf3ed0c.0002127d	hashes->hashlist_mode	4
TOP.5cf3ed0c.0002127d	hashes->hashlist_format	0
TOP.5cf3ed0c.0002127d	hashes->hashes_cnt	0
TOP.5cf3ed0c.0002127d	hashes->digests_cnt	4
TOP.5cf3ed0c.0002127d	hashes->digests_done	0
TOP.5cf3ed0c.0002127d	hashes->salts_cnt	1
TOP.5cf3ed0c.0002127d	hashes->salts_done	0
TOP.5cf3ed0c.0002127d	SUB.5cf3ed0d.0001a0db	START
TOP.5cf3ed0c.0002127d	SUB.5cf3ed0d.0001a0db	runtime_start	1559489805
TOP.5cf3ed0c.0002127d	SUB.5cf3ed0d.0001a0db	runtime_stop	1559489927
TOP.5cf3ed0c.0002127d	SUB.5cf3ed0d.0001a0db	status-after-work	7
TOP.5cf3ed0c.0002127d	SUB.5cf3ed0d.0001a0db	STOP
TOP.5cf3ed0c.0002127d	proc_start	1559489804
TOP.5cf3ed0c.0002127d	proc_stop	1559489928
TOP.5cf3ed0c.0002127d	STOP
TOP.5cf3ee28.0006dd08	START
TOP.5cf3ee28.0006dd08	user_options->separator	:
TOP.5cf3ee28.0006dd08	user_options->encoding_from	utf-8
TOP.5cf3ee28.0006dd08	user_options->encoding_to	utf-8
TOP.5cf3ee28.0006dd08	user_options->rule_buf_l	:
TOP.5cf3ee28.0006dd08	user_options->rule_buf_r	:
TOP.5cf3ee28.0006dd08	user_options->session	hashcat
TOP.5cf3ee28.0006dd08	user_options->limit	0
TOP.5cf3ee28.0006dd08	user_options->skip	0
TOP.5cf3ee28.0006dd08	user_options->attack_mode	0
TOP.5cf3ee28.0006dd08	user_options->benchmark	0
TOP.5cf3ee28.0006dd08	user_options->benchmark_all	0
TOP.5cf3ee28.0006dd08	user_options->bitmap_max	18
TOP.5cf3ee28.0006dd08	user_options->bitmap_min	16
TOP.5cf3ee28.0006dd08	user_options->debug_mode	0
TOP.5cf3ee28.0006dd08	user_options->example_hashes	0
TOP.5cf3ee28.0006dd08	user_options->force	0
TOP.5cf3ee28.0006dd08	user_options->hwmon_disable	0
TOP.5cf3ee28.0006dd08	user_options->hwmon_temp_abort	90
TOP.5cf3ee28.0006dd08	user_options->hash_mode	0
TOP.5cf3ee28.0006dd08	user_options->hex_charset	0
TOP.5cf3ee28.0006dd08	user_options->hex_salt	0
TOP.5cf3ee28.0006dd08	user_options->hex_wordlist	0
TOP.5cf3ee28.0006dd08	user_options->increment	0
TOP.5cf3ee28.0006dd08	user_options->increment_max	256
TOP.5cf3ee28.0006dd08	user_options->increment_min	1
TOP.5cf3ee28.0006dd08	user_options->keep_guessing	0
TOP.5cf3ee28.0006dd08	user_options->kernel_accel	0
TOP.5cf3ee28.0006dd08	user_options->kernel_loops	0
TOP.5cf3ee28.0006dd08	user_options->kernel_threads	0
TOP.5cf3ee28.0006dd08	user_options->keyspace	0
TOP.5cf3ee28.0006dd08	user_options->left	0
TOP.5cf3ee28.0006dd08	user_options->logfile_disable	0
TOP.5cf3ee28.0006dd08	user_options->loopback	0
TOP.5cf3ee28.0006dd08	user_options->machine_readable	0
TOP.5cf3ee28.0006dd08	user_options->markov_classic	0
TOP.5cf3ee28.0006dd08	user_options->markov_disable	0
TOP.5cf3ee28.0006dd08	user_options->markov_threshold	256
TOP.5cf3ee28.0006dd08	user_options->opencl_info	0
TOP.5cf3ee28.0006dd08	user_options->opencl_vector_width	0
TOP.5cf3ee28.0006dd08	user_options->optimized_kernel_enable	0
TOP.5cf3ee28.0006dd08	user_options->outfile_autohex	1
TOP.5cf3ee28.0006dd08	user_options->outfile_check_timer	5
TOP.5cf3ee28.0006dd08	user_options->outfile_format	3
TOP.5cf3ee28.0006dd08	user_options->wordlist_autohex_disable	0
TOP.5cf3ee28.0006dd08	user_options->potfile_disable	0
TOP.5cf3ee28.0006dd08	user_options->progress_only	0
TOP.5cf3ee28.0006dd08	user_options->quiet	0
TOP.5cf3ee28.0006dd08	user_options->remove	0
TOP.5cf3ee28.0006dd08	user_options->remove_timer	60
TOP.5cf3ee28.0006dd08	user_options->restore	0
TOP.5cf3ee28.0006dd08	user_options->restore_disable	0
TOP.5cf3ee28.0006dd08	user_options->restore_timer	60
TOP.5cf3ee28.0006dd08	user_options->rp_files_cnt	0
TOP.5cf3ee28.0006dd08	user_options->rp_gen	0
TOP.5cf3ee28.0006dd08	user_options->rp_gen_func_max	4
TOP.5cf3ee28.0006dd08	user_options->rp_gen_func_min	1
TOP.5cf3ee28.0006dd08	user_options->rp_gen_seed	0
TOP.5cf3ee28.0006dd08	user_options->runtime	0
TOP.5cf3ee28.0006dd08	user_options->scrypt_tmto	0
TOP.5cf3ee28.0006dd08	user_options->segment_size	33554432
TOP.5cf3ee28.0006dd08	user_options->self_test_disable	0
TOP.5cf3ee28.0006dd08	user_options->slow_candidates	0
TOP.5cf3ee28.0006dd08	user_options->show	0
TOP.5cf3ee28.0006dd08	user_options->speed_only	0
TOP.5cf3ee28.0006dd08	user_options->spin_damp	8
TOP.5cf3ee28.0006dd08	user_options->status	0
TOP.5cf3ee28.0006dd08	user_options->status_timer	10
TOP.5cf3ee28.0006dd08	user_options->stdout_flag	0
TOP.5cf3ee28.0006dd08	user_options->usage	0
TOP.5cf3ee28.0006dd08	user_options->username	0
TOP.5cf3ee28.0006dd08	user_options->veracrypt_pim	0
TOP.5cf3ee28.0006dd08	user_options->version	0
TOP.5cf3ee28.0006dd08	user_options->workload_profile	2
TOP.5cf3ee28.0006dd08	user_options->brain_client	0
TOP.5cf3ee28.0006dd08	user_options->brain_client_features	2
TOP.5cf3ee28.0006dd08	user_options->brain_server	0
TOP.5cf3ee28.0006dd08	user_options->brain_port	6863
TOP.5cf3ee28.0006dd08	user_options->brain_session	0
TOP.5cf3ee28.0006dd08	hashes->hashfile	hashmd5.txt
TOP.5cf3ee28.0006dd08	hashes->hashlist_mode	4
TOP.5cf3ee28.0006dd08	hashes->hashlist_format	0
TOP.5cf3ee28.0006dd08	hashes->hashes_cnt	0
TOP.5cf3ee28.0006dd08	hashes->digests_cnt	4
TOP.5cf3ee28.0006dd08	hashes->digests_done	0
TOP.5cf3ee28.0006dd08	hashes->salts_cnt	1
TOP.5cf3ee28.0006dd08	hashes->salts_done	0
TOP.5cf3ee28.0006dd08	SUB.5cf3ee29.000701f1	START
TOP.5cf3ee28.0006dd08	SUB.5cf3ee29.000701f1	straight_ctx->dict	dictionary.txt
TOP.5cf3ee28.0006dd08	SUB.5cf3ee29.000701f1	runtime_start	1559490089
TOP.5cf3ee28.0006dd08	SUB.5cf3ee29.000701f1	runtime_stop	1559490089
TOP.5cf3ee28.0006dd08	SUB.5cf3ee29.000701f1	status-after-work	5
TOP.5cf3ee28.0006dd08	SUB.5cf3ee29.000701f1	STOP
TOP.5cf3ee28.0006dd08	proc_start	1559490088
TOP.5cf3ee28.0006dd08	proc_stop	1559490090
TOP.5cf3ee28.0006dd08	STOP
TOP.5cf3ee72.0004cc67	START
TOP.5cf3ee72.0004cc67	user_options->separator	:
TOP.5cf3ee72.0004cc67	user_options->encoding_from	utf-8
TOP.5cf3ee72.0004cc67	user_options->encoding_to	utf-8
TOP.5cf3ee72.0004cc67	user_options->rule_buf_l	:
TOP.5cf3ee72.0004cc67	user_options->rule_buf_r	:
TOP.5cf3ee72.0004cc67	user_options->session	hashcat
TOP.5cf3ee72.0004cc67	user_options->limit	0
TOP.5cf3ee72.0004cc67	user_options->skip	0
TOP.5cf3ee72.0004cc67	user_options->attack_mode	0
TOP.5cf3ee72.0004cc67	user_options->benchmark	0
TOP.5cf3ee72.0004cc67	user_options->benchmark_all	0
TOP.5cf3ee72.0004cc67	user_options->bitmap_max	18
TOP.5cf3ee72.0004cc67	user_options->bitmap_min	16
TOP.5cf3ee72.0004cc67	user_options->debug_mode	0
TOP.5cf3ee72.0004cc67	user_options->example_hashes	0
TOP.5cf3ee72.0004cc67	user_options->force	0
TOP.5cf3ee72.0004cc67	user_options->hwmon_disable	0
TOP.5cf3ee72.0004cc67	user_options->hwmon_temp_abort	90
TOP.5cf3ee72.0004cc67	user_options->hash_mode	0
TOP.5cf3ee72.0004cc67	user_options->hex_charset	0
TOP.5cf3ee72.0004cc67	user_options->hex_salt	0
TOP.5cf3ee72.0004cc67	user_options->hex_wordlist	0
TOP.5cf3ee72.0004cc67	user_options->increment	0
TOP.5cf3ee72.0004cc67	user_options->increment_max	256
TOP.5cf3ee72.0004cc67	user_options->increment_min	1
TOP.5cf3ee72.0004cc67	user_options->keep_guessing	0
TOP.5cf3ee72.0004cc67	user_options->kernel_accel	0
TOP.5cf3ee72.0004cc67	user_options->kernel_loops	0
TOP.5cf3ee72.0004cc67	user_options->kernel_threads	0
TOP.5cf3ee72.0004cc67	user_options->keyspace	0
TOP.5cf3ee72.0004cc67	user_options->left	0
TOP.5cf3ee72.0004cc67	user_options->logfile_disable	0
TOP.5cf3ee72.0004cc67	user_options->loopback	0
TOP.5cf3ee72.0004cc67	user_options->machine_readable	0
TOP.5cf3ee72.0004cc67	user_options->markov_classic	0
TOP.5cf3ee72.0004cc67	user_options->markov_disable	0
TOP.5cf3ee72.0004cc67	user_options->markov_threshold	256
TOP.5cf3ee72.0004cc67	user_options->opencl_info	0
TOP.5cf3ee72.0004cc67	user_options->opencl_vector_width	0
TOP.5cf3ee72.0004cc67	user_options->optimized_kernel_enable	0
TOP.5cf3ee72.0004cc67	user_options->outfile_autohex	1
TOP.5cf3ee72.0004cc67	user_options->outfile_check_timer	5
TOP.5cf3ee72.0004cc67	user_options->outfile_format	3
TOP.5cf3ee72.0004cc67	user_options->wordlist_autohex_disable	0
TOP.5cf3ee72.0004cc67	user_options->potfile_disable	0
TOP.5cf3ee72.0004cc67	user_options->progress_only	0
TOP.5cf3ee72.0004cc67	user_options->quiet	0
TOP.5cf3ee72.0004cc67	user_options->remove	0
TOP.5cf3ee72.0004cc67	user_options->remove_timer	60
TOP.5cf3ee72.0004cc67	user_options->restore	0
TOP.5cf3ee72.0004cc67	user_options->restore_disable	0
TOP.5cf3ee72.0004cc67	user_options->restore_timer	60
TOP.5cf3ee72.0004cc67	user_options->rp_files_cnt	0
TOP.5cf3ee72.0004cc67	user_options->rp_gen	0
TOP.5cf3ee72.0004cc67	user_options->rp_gen_func_max	4
TOP.5cf3ee72.0004cc67	user_options->rp_gen_func_min	1
TOP.5cf3ee72.0004cc67	user_options->rp_gen_seed	0
TOP.5cf3ee72.0004cc67	user_options->runtime	0
TOP.5cf3ee72.0004cc67	user_options->scrypt_tmto	0
TOP.5cf3ee72.0004cc67	user_options->segment_size	33554432
TOP.5cf3ee72.0004cc67	user_options->self_test_disable	0
TOP.5cf3ee72.0004cc67	user_options->slow_candidates	0
TOP.5cf3ee72.0004cc67	user_options->show	0
TOP.5cf3ee72.0004cc67	user_options->speed_only	0
TOP.5cf3ee72.0004cc67	user_options->spin_damp	8
TOP.5cf3ee72.0004cc67	user_options->status	0
TOP.5cf3ee72.0004cc67	user_options->status_timer	10
TOP.5cf3ee72.0004cc67	user_options->stdout_flag	0
TOP.5cf3ee72.0004cc67	user_options->usage	0
TOP.5cf3ee72.0004cc67	user_options->username	0
TOP.5cf3ee72.0004cc67	user_options->veracrypt_pim	0
TOP.5cf3ee72.0004cc67	user_options->version	0
TOP.5cf3ee72.0004cc67	user_options->workload_profile	2
TOP.5cf3ee72.0004cc67	user_options->brain_client	0
TOP.5cf3ee72.0004cc67	user_options->brain_client_features	2
TOP.5cf3ee72.0004cc67	user_options->brain_server	0
TOP.5cf3ee72.0004cc67	user_options->brain_port	6863
TOP.5cf3ee72.0004cc67	user_options->brain_session	0
TOP.5cf3ee72.0004cc67	hashes->hashfile	hashmd5.txt
TOP.5cf3ee72.0004cc67	hashes->hashlist_mode	4
TOP.5cf3ee72.0004cc67	hashes->hashlist_format	0
TOP.5cf3ee72.0004cc67	hashes->hashes_cnt	0
TOP.5cf3ee72.0004cc67	hashes->digests_cnt	2
TOP.5cf3ee72.0004cc67	hashes->digests_done	0
TOP.5cf3ee72.0004cc67	hashes->salts_cnt	1
TOP.5cf3ee72.0004cc67	hashes->salts_done	0
TOP.5cf3ee72.0004cc67	SUB.5cf3ee73.0007028b	START
TOP.5cf3ee72.0004cc67	SUB.5cf3ee73.0007028b	straight_ctx->dict	dictionary.txt
TOP.5cf3ee72.0004cc67	SUB.5cf3ee73.0007028b	runtime_start	1559490163
TOP.5cf3ee72.0004cc67	SUB.5cf3ee73.0007028b	runtime_stop	1559490163
TOP.5cf3ee72.0004cc67	SUB.5cf3ee73.0007028b	status-after-work	5
TOP.5cf3ee72.0004cc67	SUB.5cf3ee73.0007028b	STOP
TOP.5cf3ee72.0004cc67	proc_start	1559490162
TOP.5cf3ee72.0004cc67	proc_stop	1559490164
TOP.5cf3ee72.0004cc67	STOP
TOP.5cf3eedc.0000ea19	START
TOP.5cf3eedc.0000ea19	user_options->separator	:
TOP.5cf3eedc.0000ea19	user_options->encoding_from	utf-8
TOP.5cf3eedc.0000ea19	user_options->encoding_to	utf-8
TOP.5cf3eedc.0000ea19	user_options->rule_buf_l	:
TOP.5cf3eedc.0000ea19	user_options->rule_buf_r	:
TOP.5cf3eedc.0000ea19	user_options->session	hashcat
TOP.5cf3eedc.0000ea19	user_options->limit	0
TOP.5cf3eedc.0000ea19	user_options->skip	0
TOP.5cf3eedc.0000ea19	user_options->attack_mode	0
TOP.5cf3eedc.0000ea19	user_options->benchmark	0
TOP.5cf3eedc.0000ea19	user_options->benchmark_all	0
TOP.5cf3eedc.0000ea19	user_options->bitmap_max	18
TOP.5cf3eedc.0000ea19	user_options->bitmap_min	16
TOP.5cf3eedc.0000ea19	user_options->debug_mode	0
TOP.5cf3eedc.0000ea19	user_options->example_hashes	0
TOP.5cf3eedc.0000ea19	user_options->force	0
TOP.5cf3eedc.0000ea19	user_options->hwmon_disable	0
TOP.5cf3eedc.0000ea19	user_options->hwmon_temp_abort	90
TOP.5cf3eedc.0000ea19	user_options->hash_mode	0
TOP.5cf3eedc.0000ea19	user_options->hex_charset	0
TOP.5cf3eedc.0000ea19	user_options->hex_salt	0
TOP.5cf3eedc.0000ea19	user_options->hex_wordlist	0
TOP.5cf3eedc.0000ea19	user_options->increment	0
TOP.5cf3eedc.0000ea19	user_options->increment_max	256
TOP.5cf3eedc.0000ea19	user_options->increment_min	1
TOP.5cf3eedc.0000ea19	user_options->keep_guessing	0
TOP.5cf3eedc.0000ea19	user_options->kernel_accel	0
TOP.5cf3eedc.0000ea19	user_options->kernel_loops	0
TOP.5cf3eedc.0000ea19	user_options->kernel_threads	0
TOP.5cf3eedc.0000ea19	user_options->keyspace	0
TOP.5cf3eedc.0000ea19	user_options->left	0
TOP.5cf3eedc.0000ea19	user_options->logfile_disable	0
TOP.5cf3eedc.0000ea19	user_options->loopback	0
TOP.5cf3eedc.0000ea19	user_options->machine_readable	0
TOP.5cf3eedc.0000ea19	user_options->markov_classic	0
TOP.5cf3eedc.0000ea19	user_options->markov_disable	0
TOP.5cf3eedc.0000ea19	user_options->markov_threshold	256
TOP.5cf3eedc.0000ea19	user_options->opencl_info	0
TOP.5cf3eedc.0000ea19	user_options->opencl_vector_width	0
TOP.5cf3eedc.0000ea19	user_options->optimized_kernel_enable	0
TOP.5cf3eedc.0000ea19	user_options->outfile_autohex	1
TOP.5cf3eedc.0000ea19	user_options->outfile_check_timer	5
TOP.5cf3eedc.0000ea19	user_options->outfile_format	3
TOP.5cf3eedc.0000ea19	user_options->wordlist_autohex_disable	0
TOP.5cf3eedc.0000ea19	user_options->potfile_disable	0
TOP.5cf3eedc.0000ea19	user_options->progress_only	0
TOP.5cf3eedc.0000ea19	user_options->quiet	0
TOP.5cf3eedc.0000ea19	user_options->remove	0
TOP.5cf3eedc.0000ea19	user_options->remove_timer	60
TOP.5cf3eedc.0000ea19	user_options->restore	0
TOP.5cf3eedc.0000ea19	user_options->restore_disable	0
TOP.5cf3eedc.0000ea19	user_options->restore_timer	60
TOP.5cf3eedc.0000ea19	user_options->rp_files_cnt	0
TOP.5cf3eedc.0000ea19	user_options->rp_gen	0
TOP.5cf3eedc.0000ea19	user_options->rp_gen_func_max	4
TOP.5cf3eedc.0000ea19	user_options->rp_gen_func_min	1
TOP.5cf3eedc.0000ea19	user_options->rp_gen_seed	0
TOP.5cf3eedc.0000ea19	user_options->runtime	0
TOP.5cf3eedc.0000ea19	user_options->scrypt_tmto	0
TOP.5cf3eedc.0000ea19	user_options->segment_size	33554432
TOP.5cf3eedc.0000ea19	user_options->self_test_disable	0
TOP.5cf3eedc.0000ea19	user_options->slow_candidates	0
TOP.5cf3eedc.0000ea19	user_options->show	0
